#City GoogleResults Latitude Longitude SearchPhrase
St._Louis 34600 90.2446 38.6357 http://www.google.com/search?q=St.+Louis+"tech+hub"
Houston 44500 95.3863 29.7805 http://www.google.com/search?q=Houston+"tech+hub"
Hampton 33800 76.2971 37.0480 http://www.google.com/search?q=Hampton+"tech+hub"
New_Haven 34500 72.9250 41.3108 http://www.google.com/search?q=New+Haven+"tech+hub"
Tallahassee 8330 84.2534 30.4551 http://www.google.com/search?q=Tallahassee+"tech+hub"
Garland 12200 96.6304 32.9098 http://www.google.com/search?q=Garland+"tech+hub"
Gresham 5900 122.4416 45.5023 http://www.google.com/search?q=Gresham+"tech+hub"
Ventura 16200 119.2550 34.2681 http://www.google.com/search?q=Ventura+"tech+hub"
Reno 5560 119.7765 39.4745 http://www.google.com/search?q=Reno+"tech+hub"
Tyler 62600 95.30 32.35 http://www.google.com/search?q=Tyler+"tech+hub"
Simi_Valley 2000 118.7485 34.2669 http://www.google.com/search?q=Simi+Valley+"tech+hub"
Salinas 9540 121.6337 36.6902 http://www.google.com/search?q=Salinas+"tech+hub"
Lakewood 21000 105.1176 39.6989 http://www.google.com/search?q=Lakewood+"tech+hub"
Des_Moines 4770 93.6167 41.5739 http://www.google.com/search?q=Des+Moines+"tech+hub"
Milwaukee 23400 87.9667 43.0633 http://www.google.com/search?q=Milwaukee+"tech+hub"
Corpus_Christi 6310 97.1734 27.7543 http://www.google.com/search?q=Corpus+Christi+"tech+hub"
Oakland 29700 122.2256 37.7699 http://www.google.com/search?q=Oakland+"tech+hub"
Murrieta 9210 117.1907 33.5719 http://www.google.com/search?q=Murrieta+"tech+hub"
St._Paul 28800 93.1039 44.9489 http://www.google.com/search?q=St.+Paul+"tech+hub"
McKinney 22800 96.6680 33.2012 http://www.google.com/search?q=McKinney+"tech+hub"
