"FG3M" "FG3_PCT" "DEF_RATING" PLAYER_NAME
0.0 0.2 104.5 Udonis_Haslem
1.0 0.2 115.7 Vander_Blue
0.6 0.545 90.0 Victor_Claver
1.2 0.339 106.8 Victor_Oladipo
1.0 0.297 100.0 Vince_Carter
1.4 0.37 103.9 Wayne_Ellington
1.2 0.351 108.8 Wesley_Johnson
2.9 0.389 99.4 Wesley_Matthews
0.4 0.271 100.8 Will_Barton
0.0 0.0 130.3 Will_Bynum
0.3 0.222 106.3 Will_Cherry
0.8 0.347 99.3 Willie_Green
1.8 0.342 107.8 Wilson_Chandler
0.0 0.0 103.9 Xavier_Henry
0.7 0.341 112.4 Zach_LaVine
0.1 0.35 99.9 Zach_Randolph
0.0 0.0 97.0 Zaza_Pachulia
0.2 0.214 109.1 Zoran_Dragic
