51	39.4%	45	43.8%
36	53.3%	34	49.4%
39	48.3%	49	38.8%
45	35.3%	48	53.3%
43	39.8%	45	44.9%
42	48.2%	43	43.0%
47	51.9%	38	51.9%
37	47.6%	43	44.4%
39	48.8%	57	39.1%
44	39.1%	50	42.5%
43	51.7%	37	49.4%
37	49.3%	36	41.3%
40	40.8%	38	50.6%
44	54.7%	42	50.6%
41	40.2%	44	48.8%
41	41.8%	45	42.2%
54	35.6%	43	45.2%
46	46.1%	46	47.2%
44	48.8%	40	48.1%
40	48.2%	57	40.0%
37	44.6%	48	36.1%
45	42.3%	46	35.7%
47	47.3%	50	41.4%
42	44.2%	43	51.1%
48	46.5%	51	44.9%
43	43.6%	51	44.4%
37	50.6%	45	42.7%
50	43.6%	47	42.4%
26	51.4%	32	46.5%
47	41.4%	46	51.8%
40	40.0%	42	49.3%
53	40.0%	56	42.4%
36	51.2%	32	51.2%
39	44.9%	38	47.4%
48	44.7%	41	43.7%
36	55.0%	42	43.5%
40	45.1%	33	64.5%
38	38.6%	31	53.0%
45	44.9%	42	50.6%
58	41.0%	60	44.9%
43	51.3%	42	43.2%
40	45.6%	54	37.5%
43	30.1%	44	53.9%
41	51.3%	44	41.5%
43	43.0%	43	45.0%
50	41.5%	37	45.3%
46	42.0%	44	45.7%
45	45.6%	41	47.1%
59	46.6%	54	30.6%
41	44.6%	45	44.4%
48	47.2%	47	43.2%
44	53.1%	37	45.6%
42	42.2%	41	47.6%
47	48.7%	33	51.8%
37	56.3%	29	52.1%
38	50.6%	40	48.1%
50	42.5%	31	49.4%
41	40.5%	50	39.8%
51	36.4%	49	46.2%
49	50.6%	44	41.3%
55	44.4%	33	47.8%
46	52.1%	49	46.1%
48	43.7%	46	36.5%
50	40.0%	34	51.8%
44	51.9%	37	42.4%
36	58.3%	36	50.0%
36	50.7%	35	48.7%
41	37.0%	43	48.8%
44	49.4%	43	41.1%
39	39.7%	47	44.6%
34	46.9%	47	46.3%
39	41.8%	52	41.7%
41	39.5%	39	52.3%
35	47.3%	45	40.5%
53	37.9%	44	44.9%
44	41.0%	49	40.5%
37	39.5%	43	51.4%
39	50.5%	47	46.4%
49	43.5%	32	51.2%
39	50.0%	45	48.0%
38	54.4%	36	52.3%
37	46.3%	43	46.8%
37	47.5%	45	45.6%
44	44.2%	42	46.4%
46	51.3%	34	45.5%
43	41.3%	46	35.7%
39	47.5%	41	43.2%
